title,year,runtime,certificate,rating,metascore,votes,gross
Lagaan: Once Upon a Time in India,2001,224,PG,8.1,84.0,117686,0.07
The Battle of Algiers,1966,121,Not Rated,8.1,96.0,63166,0.06
The Message,1976,177,PG,8.1,,49435,
Inherit the Wind,1960,128,Passed,8.1,75.0,31746,
Masaan,2015,109,,8.1,,29664,
The Hidden Fortress,1958,126,Not Rated,8.1,89.0,40818,
White Heat,1949,114,Not Rated,8.1,89.0,34603,
Wolf Children,2012,117,PG,8.1,71.0,47427,
Winter Sleep,2014,196,Not Rated,8.1,88.0,53659,0.17
The General,1926,78,Passed,8.1,,94941,1.03
Throne of Blood,1957,110,Not Rated,8.1,,54251,
Army of Shadows,1969,145,Not Rated,8.1,99.0,24911,0.74
Nights of Cabiria,1957,110,Not Rated,8.1,,50724,0.75
Diabolique,1955,117,Not Rated,8.1,,67758,1.09
Mr. Smith Goes to Washington,1939,129,Passed,8.1,73.0,118488,9.60
Dil Chahta Hai,2001,183,Not Rated,8.1,,74248,0.30
OMG: Oh My God!,2012,125,Not Rated,8.1,,61376,0.92
The Virgin Spring,1960,89,Not Rated,8.1,,30633,1.53
Miracle in Cell No. 7,2013,127,,8.1,,22040,
Ace in the Hole,1951,111,Approved,8.1,72.0,37872,3.97
Autumn Sonata,1978,99,PG,8.1,,36256,
Talvar,2015,132,Not Rated,8.1,,36836,0.34
A Wednesday,2008,104,Not Rated,8.1,,80615,
Sunrise,1927,94,Passed,8.1,95.0,52661,0.54
Hera Pheri,2000,156,Not Rated,8.1,,70054,
Barfi!,2012,151,Not Rated,8.1,,84559,2.80
Rififi,1955,118,Not Rated,8.1,97.0,35882,0.06
The Gold Rush,1925,95,Passed,8.1,,115037,5.45
Raise the Red Lantern,1991,125,PG,8.1,,34215,2.60
Let's Go! India,2007,153,Not Rated,8.1,68.0,82697,1.11
Rang De Basanti,2006,167,Not Rated,8.1,,120914,2.20
Bajrangi Bhaijaan,2015,163,Not Rated,8.1,,93010,8.18
A Moment to Remember,2004,117,PG-13,8.1,,24885,
A Short Film About Love,1988,87,Not Rated,8.1,,25032,
Dara of Jasenovac,2020,130,R,8.1,,81513,0.05
Faust,1926,107,Not Rated,8.1,,16028,
Pink,III) (2016,136,Not Rated,8.1,,46774,1.24
The Twilight Samurai,2002,129,,8.1,82.0,24755,
Time of the Gypsies,1988,142,R,8.1,,31898,0.28
Farha,2021,92,TV-14,8.1,,79845,
Jean de Florette,1986,120,PG,8.1,,26845,4.94
Sholay,1975,162,Not Rated,8.1,,57480,
Article 15,2019,130,Not Rated,8.1,,35520,
Viridiana,1961,91,Not Rated,8.1,,25400,
A Christmas Carol,1951,86,TV-PG,8.1,,24368,
Where Is the Friend's House?,1987,83,Not Rated,8.1,,16957,
The Heiress,1949,115,Not Rated,8.1,,16587,
The Grand Illusion,1937,113,Not Rated,8.1,,37906,0.17
Munna Bhai M.B.B.S.,2003,156,Not Rated,8.1,,85263,
A Special Day,1977,106,Approved,8.1,,15059,
Innocence,1997,110,,8.1,,18562,
Safety Last!,1923,74,Not Rated,8.1,,21906,1.36
Tangerines,2013,87,Not Rated,8.1,73.0,47797,0.14
Love Today,2022,154,,8.1,,14089,
Major,2022,150,,8.1,,30889,
Omkara,2006,155,Not Rated,8.1,,21446,0.79
Section 375,2019,124,Not Rated,8.1,,16954,
The Bandit,1996,128,Not Rated,8.1,,71142,
The Circus,1928,72,Passed,8.1,90.0,35110,
The Tashkent Files,2019,134,Not Rated,8.1,,35375,
Sarfarosh,1999,174,Not Rated,8.1,,26366,
Udaan,2010,134,Not Rated,8.1,,46146,0.01
The Color of Paradise,1999,90,PG,8.1,80.0,17840,1.81
Queen,2013,146,Not Rated,8.1,,67328,1.43
Hridayam,2022,172,,8.1,,13945,
Black,2005,122,Not Rated,8.1,,35579,0.73
Indian,1996,185,Not Rated,8.1,,13273,
Kahaani,2012,122,Not Rated,8.1,,64377,1.04
Her Sey Çok Güzel Olacak,1998,107,,8.1,,26578,
Moscow Does Not Believe in Tears,1980,150,PG,8.1,,13707,2.50
Bombay,1995,130,Not Rated,8.1,,13309,
Day of Wrath,1943,110,Not Rated,8.1,,10751,
Kaththi,2014,166,Not Rated,8.1,,28524,
Thuppakki,2012,165,Not Rated,8.1,,36126,
